Distance [mm],Counts DetA,Counts DetB,Coincidences
0,969,4,305
10,475,7,587
20,259,10,663
30,115,11,673
40,69,12,739
50,60,12,775
60,42,14,862
70,36,18,944
80,26,19,1002
90,13,16,929
100,13,20,871
110,15,20,727
120,9,17,614
130,11,29,550
140,7,33,483
150,3,32,436
160,3,41,348
170,8,51,346
180,9,64,315
190,9,85,253
200,4,108,253
210,3,99,220
220,5,137,229
230,2,200,196
240,5,307,194
250,3,438,160
260,5,664,148
270,0,1252,161
280,1,1119,59
